sample	response
sampleName1	1
sampleName2	0
sampleName3	1
sampleName4	0
sampleName5	1
sampleName6	1
sampleName7	1
sampleName8	1
sampleName9	0
sampleName10	1
sampleName11	1
sampleName12	1
sampleName13	0
sampleName14	0
sampleName15	0
sampleName16	0
sampleName17	1
sampleName18	1
sampleName19	1
sampleName20	1
sampleName21	0
sampleName22	1
sampleName23	0
sampleName24	0
sampleName25	0
sampleName26	1
sampleName27	1
sampleName28	1
sampleName29	0
sampleName30	1
sampleName31	1
sampleName32	1
sampleName33	0
sampleName34	1
sampleName35	1
sampleName36	1
sampleName37	0
sampleName38	0
sampleName39	0
sampleName40	0
sampleName41	0
sampleName42	1
sampleName43	1
sampleName44	1
sampleName45	1
sampleName46	1
sampleName47	0
sampleName48	0
sampleName49	1
sampleName50	1
sampleName51	0
sampleName52	1
sampleName53	1
sampleName54	1
sampleName55	1
sampleName56	0
sampleName57	1
sampleName58	1
sampleName59	1
sampleName60	1
sampleName61	1
sampleName62	1
sampleName63	1
sampleName64	1
sampleName65	1
sampleName66	1
sampleName67	1
sampleName68	1
sampleName69	1
sampleName70	1
sampleName71	1
sampleName72	0
sampleName73	1
sampleName74	0
sampleName75	1
sampleName76	1
sampleName77	1
sampleName78	1
sampleName79	1
sampleName80	0
sampleName81	1
sampleName82	1
sampleName83	1
sampleName84	0
sampleName85	1
sampleName86	1
sampleName87	0
sampleName88	1
sampleName89	0
sampleName90	1
sampleName91	1
sampleName92	0
sampleName93	0
sampleName94	1
sampleName95	1
sampleName96	1
sampleName97	0
sampleName98	1
sampleName99	1
sampleName100	0
